City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
286,hamilton,39.1834,-84.5333,12.46,96,100,0.45,US,1670360131
287,khuzdar,27.7384,66.6434,12.52,33,0,1.94,PK,1670360259
288,chanika,-5.4167,38.0167,20.99,94,100,2.03,TZ,1670360260
289,astara,38.5,48.6667,2.99,98,100,0.94,AZ,1670360260
290,nome,64.5011,-165.4064,-7.72,94,83,1.95,US,1670360260
291,tual,-5.6667,132.75,28.16,69,100,3.49,ID,1670360175
292,buraydah,26.326,43.975,15.25,85,75,4.09,SA,1670360261
293,presidencia roque saenz pena,-26.7852,-60.4388,41.34,13,2,2.39,AR,1670360261
294,peniche,39.3558,-9.3811,12.47,95,93,1.43,PT,1670360261
295,metro,-5.1131,105.3067,23.45,92,100,2.29,ID,1670360262
296,bredasdorp,-34.5322,20.0403,15.8,68,32,0.46,ZA,1670360127
297,laguna,38.421,-121.4238,15.35,72,0,3.09,US,1670360262
298,nouakchott,18.0858,-15.9785,23.96,70,5,5.38,MR,1670359909
299,geraldton,-28.7667,114.6,17.23,59,0,4.63,AU,1670360158
300,walvis bay,-22.9575,14.5053,16.16,82,0,4.63,NA,1670360263
301,obo,5.3998,26.4869,24.51,44,78,1.4,CF,1670360263
302,dubai,25.2582,55.3047,24.96,69,0,2.57,AE,1670360263
303,treinta y tres,-33.2333,-54.3833,30.75,27,0,6.84,UY,1670360264
304,bonthe,7.5264,-12.505,26.62,83,52,2.96,SL,1670360264
305,vakhrushev,48.9833,142.9667,-8.42,73,100,4.01,RU,1670360264
306,ixtapa,20.7,-105.2,28.46,71,5,1.79,MX,1670360172
307,saint anthony,45.0205,-93.218,0.27,62,21,0.89,US,1670360146
308,surt,31.2089,16.5887,19.3,59,54,1.98,LY,1670360109
309,linkou,45.3,130.2833,-12.61,91,66,3.02,CN,1670360265
310,henties bay,-22.116,14.2845,14.42,91,0,2.97,NA,1670360265
311,pangnirtung,66.1451,-65.7125,-3.0,86,100,4.12,CA,1670360265
312,bambous virieux,-20.3428,57.7575,25.14,83,75,5.14,MU,1670360116
313,mandalgovi,45.7625,106.2708,-11.73,37,100,3.49,MN,1670360266
